阿尔伯特·芬尼
李安
东邪西毒
美国
喜剧
麦兜
这个男人来自地球
松冈茉优
三浦贵大
唐·钱德尔
宋在浩
耿乐
朱迪·福斯特
金燕玲
感人
ireland
阿尔弗雷德·莫里纳
盖·皮尔斯
弗兰卡·波坦特
莫妮卡·贝鲁奇
乱世佳人
教师
翻拍
香港
2008
KateWinslet
Cult
詹姆斯·卡沙莫
林原惠美
历苏
虐心
瓦莱莉·高利诺
马尔科姆·麦克道威尔
2005
2015
疯狂的石头
斯坦利·图齐
1994
黑色幽默
少年
艾丽莎·奈特
克里斯·库珀
马特·狄龙
丹尼斯·法里纳
弗农·多布切夫
凯文·史派西
麦凯尔泰·威廉逊
3D
拉美
杰森·弗莱明
尾上绫华
木村拓哉
J·K·西蒙斯
好戏推荐
林青霞
詹姆斯·柯登
民主
罗伯特·肖恩·莱纳德
Notebook
黑客帝国
哥哥
公路
乔治·坎塔里尼
岸本加世子
儿童
梅丽尔·斯特里普
AlPacino
库布里克
佛莱德·威拉特
凯瑞-安·莫斯
张震
阿尔·帕西诺
杰弗里·拉什
西藏
卡萨布兰卡
迈克尔·多曼
多布杰
HughJackman
森雅之
岛本须美
吉卜力
中央车站
阿曼达·普拉莫
哈尔的移动城堡
木村佳乃
StevenSpielberg
沙哈布·侯赛尼
动物
钟绍图
罗马
戰爭
莱昂纳多·迪卡普里奥
意大利
科林·费尔斯
田中裕子
马丁·鲍尔萨姆
推理
布兰登·费舍
王启赞
苏拉·沙玛
宗教
杉村春子
阿尔多·久弗瑞
戴夫·帕特尔
1996
丽塔·科尔泰塞
艾米莉娅·福克斯
摇滚
埃米尔·赫施
有思考价值
连姆·尼森
坂本千夏
马克·鲁弗洛
吉恩·凯利
富润生
雷·罗马诺
约翰·雷吉扎莫
霍卫民
法国
白石绫乃
孙艺珍
玛德琳·卡罗尔
我的2009十佳
杰拉尔·德帕迪约
南美
佩曼·莫阿迪
新海城
史蒂夫·茨恩
高山南
动画
罗伯托·贝尼尼
萨姆·沃辛顿
凯拉·奈特莉
约翰尼·李·米勒
恐怖电影
辰己努
奥兰多·布鲁姆
人工智能
郭涛
鲍勃·彼德森
比利·赞恩
达科塔·范宁
迈尔斯·特勒
血钻
蒂姆·罗宾斯
黛比·雷诺斯
吴镇宇
1990
海伦娜·伯翰·卡特
萧炳林
台湾电影
南非
George Hendrick
加里·西尼斯
陶虹
马克西姆·戈达尔
杰西卡·兰格
SergioLeone
乔纳森·泰勒·托马斯
瑞贝卡·德·莫妮
安东尼·迈克尔·豪尔
乔什·哈奈特
詹妮弗·加纳
汤姆·哈迪
闵孝琳
曾志伟
飘
杰瑞德·莱托
GusVanSant
八千公物语
山口胜平
大卫·哈雷伍德
杨德昌
阿米尔·汗
凯文·波拉克
马修·麦克费登
鬼子来了
蝙蝠侠
弗吉尼亚·切瑞尔
杰昆·菲尼克斯
奥地利
克林特·伊斯特伍德
约翰·斯宾塞
江守彻
复仇
斯科特·格伦
杰里米·西奥伯德
罗生门
纽约
卡琳娜·卡普尔
金·凯瑞
杰克·托马斯
瓦莱丽·勒梅西埃
pixar
宋智孝
黑社会
1988
2007
唐纳德·奥康纳
纪实
山崎努
金·寇兹
亨利·方达
安妮·科利
皮尔斯·布鲁斯南
亨利·伯格曼
海盗电台
松田洋治
韩国
山本圭
凯文·科斯特纳
蕾切儿·哈伍德
肖恩·康纳利
音乐
英国
杰米·福克斯
惊悚
西部片
约翰尼·德普
MatthewMcConaughey
梅罗拉·沃特斯
BradPitt
维特维斯特·海伦亚沃恩酷
康妮·尼尔森
死刑
弗雷德里克·劳
让-巴蒂斯特·莫尼耶
尼克·西塞
王家衛
残酷
本·阿弗莱克
王渝文
1960
日本动画
马龙·白兰度
澳大利亚电影
黛安·韦斯特
DarrenAronofsky
弗朗索瓦·贝利昂
市川实日子
黑帮
T·J·米勒
希区柯克
喜剧之王
亚尼·卡普
尼克·诺特
RachelMcAdams
克里斯蒂娜·亨德里克斯
克里斯·诺斯
2009
楚门的世界
克雷格·费格森
love
香水
吕克贝松
艾米·斯马特
雅尼卡·桑普蕾舞
丰川悦司
1952
社会主义
ET
马西娅·盖伊·哈登
维克多·斯勒扎克
比尔·奈伊
罗芸
秒速5cm
特工
Aamir
恩佐·卡拉瓦勒
志村乔
溥仪
西西里的美丽传说
原沙知绘
伊藤步
丹尼尔·雷德克里夫
2003
卡罗琳·古多尔
灵异
冒险
约翰·比灵斯列
萨拉·西尔弗曼
AlfredHitchcock
Kevinspacey
多米妮克·麦克艾丽戈特
真实故事
马克思·雷迈特
警匪
安迪·加西亚
Alfred_Hitchcock
动画片
米歇尔·塞罗
谍影重重3
埃里·瓦拉赫
Alaistair Foley
